name,display_name,relevance_score,country_code,type,works_count,cited_by_count
"Sapienza University, Rome, Italy
ISI Foundation, Turin, Italy",Sapienza University of Rome,105722.87,IT,education,176055,3652998
"University of Pisa, Italy
ICAR-CNR, Rende, Italy",University of Pisa,102497.945,IT,education,96945,2171352
"ISI Foundation, Turin, Italy",ISI Foundation,7190.828,US,other,552,6879
"Centai, Turin, Italy
Eurecat, Barcelona, Spain",,-1,IT,,-1,-1
Beijing Normal University,Beijing Normal University,85572.805,CN,education,78291,1244076
University of Bern,University of Bern,116741.06,CH,education,104524,3327056
Indian Institute of Technology,Indian Institute of Technology Kharagpur,55094.887,IN,education,53701,911759
Ben-Gurion University,Ben-Gurion University of the Negev,103102.266,IL,education,75152,1550321
"IIIT Delhi, India",,-1,IN,,-1,-1
Federal University of Rio Grande do Sul,Universidade Federal do Rio Grande do Sul,32856.035,BR,education,120219,1370969
Harvard University,Harvard University,326403.03,US,education,566358,33177665
"Pompeu Fabra University, Barcelona, Spain
Eurecat, Barcelona, Spain",Pompeu Fabra University,115214.24,ES,education,34249,919769
"Sapienza, University of Rome, Italy",Sapienza University of Rome,108721.94,IT,education,176055,3652998
"Pompeu Fabra University, Barcelona, Spain
ICREA, Barcelona, Spain",Pompeu Fabra University,115214.24,ES,education,34249,919769
University of California Irvine,"University of California, Irvine",190862.64,US,education,141956,5078617
LMU Munich,,-1,DE,,-1,-1
Virginia Polytechnic Institute & State University (Virginia Tech) (SSO),,-1,US,,-1,-1
North Carolina State University,North Carolina State University,155315.8,US,education,140912,3650793
Indiana University,Indiana University Bloomington,80513.945,US,education,79337,2795990
International Institute of Information Technology,"International Institute of Information Technology, Hyderabad",13855.695,IN,education,3951,46564
Indraprastha Institute of Information Technology,Indraprastha Institute of Information Technology Delhi,17145.537,IN,education,4044,37096
Lahore University of Management sciences,Lahore University of Management Sciences,21421.025,PK,education,4367,55959
Oberlin College,Oberlin College,24579.205,US,education,6692,103197
Meta,Meta (Israel),31789.86,IL,company,4101,288201
"Department of Computer Science, Purdue University, West Lafayette, IN 47907",,-1,US,,-1,-1
"GESIS - Leibniz Institute for the Social Science
University of Koblenz-Landau",,-1,DE,,-1,-1
"GESIS - Leibniz Institute for the Social Sciences
RWTH Aachen University",,-1,DE,,-1,-1
University Tennessee Knoxville,University of Tennessee at Knoxville,45950.46,US,education,105628,2936049
Rutgers University,"Rutgers, The State University of New Jersey",66767.234,US,education,188719,5843166
Technical University of Munich,Technical University of Munich,169855.92,DE,education,158503,4333664
Yale Law School,,-1,US,,-1,-1
"Twitter, Inc.",Twitter (United States),10625.035,US,company,2488,38823
